# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|13|021|0012|44201|1|1|007|047|20110301|00:00|0.026|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|01:00|0.027|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|02:00|0.027|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|03:00|0.024|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|04:00|0.022|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|05:00|0.022|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|06:00|0.021|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|07:00|0.021|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|08:00|0.022|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|09:00|0.026|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|10:00|0.030|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|11:00|0.032|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|12:00|0.036|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|13:00|0.040|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|14:00|0.043|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|15:00|0.045|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|16:00|0.045|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|17:00|0.046|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|18:00|0.042|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|19:00|0.030|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|20:00|0.012|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|21:00|0.014|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|22:00|0.014|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110301|23:00|0.015|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|00:00|0.023|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|01:00|0.022|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|02:00|0.011|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|03:00|0.008|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|04:00|0.006|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|05:00|0.005|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|06:00|0.002|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|07:00|0.002|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|08:00|0.010|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|09:00|0.034|||||||||||||||
RD|I|13|021|0012|44201|1|1|007|047|20110302|10:00|0.040|||||||||||||||
