# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RC|I|13|089|0003|12128|2|001|092|2005|1|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|2|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|3|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|4|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|5|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|6|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|7|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|8|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|9|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|10|6|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|11|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2005|12|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|1|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|2|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|3|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|4|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|5|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|6|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|7|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|8|3|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|9|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|10|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|11|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2006|12|6|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|1|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|2|4|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|3|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|4|6|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|5|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|6|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|7|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|8|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|9|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|10|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|11|4|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2007|12|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|1|6|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|2|4|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|3|6|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|4|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|5|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|6|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|7|5|MONTHLY|0|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|8|4|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|9|5|MONTHLY|0.1|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|10|4|MONTHLY|0.00443|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|11|5|MONTHLY|0.0053|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2008|12|5|MONTHLY|0.0038|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2009|1|6|MONTHLY|0.00428|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2009|2|4|MONTHLY|0.00285|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2009|3|5|MONTHLY|0.0033|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2009|4|5|MONTHLY|0.00258|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2009|5|5|MONTHLY|0.00267|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2009|6|5|MONTHLY|0.00284|||||||||||||
RC|I|13|089|0003|12128|2|001|092|2009|7|5|MONTHLY|0.00298|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090805|00:00|0.00360||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090811|00:00|0.00340||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090817|00:00|0.00260||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090823|00:00|0.00300||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090829|00:00|0.00240||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090904|00:00|0.00290||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090910|00:00|0.00270||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090916|00:00|0.00210||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090922|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20090928|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091004|00:00|0.00340||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091010|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091016|00:00|0.00160||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091022|00:00|0.00460||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091028|00:00|0.00300||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091103|00:00|0.00610||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091109|00:00|0.00480||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091115|00:00|0.00610||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091121|00:00|0.00600||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091127|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091203|00:00|0.00170||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091209|00:00|0.00150||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091215|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091221|00:00|0.00470||6|||||||||||||
RD|I|13|089|0003|12128|3|7|001|089|20091227|00:00|0.00160||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090805|00:00|0.00370||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090811|00:00|0.00380||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090817|00:00|0.00310||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090823|00:00|0.00310||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090829|00:00|0.00230||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090904|00:00|0.00330||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090910|00:00|0.00240||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090916|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090922|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20090928|00:00|0.00370||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091004|00:00|0.00310||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091010|00:00|0.00190||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091016|00:00|0.00140||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091022|00:00|0.00440||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091028|00:00|0.00370||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091103|00:00|0.00560||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091109|00:00|0.00470||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091115|00:00|0.00730||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091121|00:00|0.00550||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091127|00:00|0.00270||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091203|00:00|0.00160||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091209|00:00|0.00170||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091215|00:00|0.00230||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091221|00:00|0.00480||6|||||||||||||
RD|I|13|089|0003|12128|4|7|001|089|20091227|00:00|0.00430||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091004|00:00|0.00340||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091010|00:00|0.00180||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091016|00:00|0.00160||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091022|00:00|0.00460||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091028|00:00|0.00290||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091103|00:00|0.00610||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091109|00:00|0.00480||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091115|00:00|0.00620||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091121|00:00|0.00610||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091127|00:00|0.00230||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091203|00:00|0.00170||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091209|00:00|0.00150||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091215|00:00|0.00220||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091221|00:00|0.00490||6|||||||||||||
RD|I|13|089|0003|14129|1|7|105|110|20091227|00:00|0.00170||6|||||||||||||
