X..RD,Action.Code,State.Code,County.Code,Site.ID,Parameter,POC,Sample.Duration,Unit,Method,Date,Start.Time,Sample.Value,Null.Data.Code,Sampling.Frequency,Monitor.Protocol..MP..ID,Qualifier...1,Qualifier...2,Qualifier...3,Qualifier...4,Qualifier...5,Qualifier...6,Qualifier...7,Qualifier...8,Qualifier...9,Qualifier...10,Alternate.Method.Detectable.Limit,Uncertainty
RD,I,13,85,1,44201,2,1,7,47,20050301,12:00:00 AM,0.034,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,01:00:00 AM,0.033,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,02:00:00 AM,0.034,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,03:00:00 AM,0.037,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,04:00:00 AM,0.035,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,05:00:00 AM,0.032,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,06:00:00 AM,0.031,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,07:00:00 AM,0.028,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,08:00:00 AM,0.027,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,09:00:00 AM,0.032,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,10:00:00 AM,0.035,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,11:00:00 AM,0.035,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,12:00:00 PM,0.038,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,01:00:00 PM,0.038,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,02:00:00 PM,0.039,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,03:00:00 PM,0.04,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,04:00:00 PM,0.04,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,05:00:00 PM,0.039,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,06:00:00 PM,,BF,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,07:00:00 PM,,BF,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,08:00:00 PM,0.037,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,09:00:00 PM,0.036,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,10:00:00 PM,0.037,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050301,11:00:00 PM,0.037,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,12:00:00 AM,0.037,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,01:00:00 AM,0.037,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,02:00:00 AM,0.036,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,03:00:00 AM,0.035,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,04:00:00 AM,0.034,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,05:00:00 AM,0.034,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,06:00:00 AM,0.034,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,07:00:00 AM,0.034,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,08:00:00 AM,0.036,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,09:00:00 AM,0.038,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,10:00:00 AM,0.04,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,11:00:00 AM,0.042,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,12:00:00 PM,0.043,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,01:00:00 PM,0.043,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,02:00:00 PM,0.041,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,03:00:00 PM,0.042,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,04:00:00 PM,0.041,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,05:00:00 PM,0.04,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,06:00:00 PM,0.041,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,07:00:00 PM,0.038,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,08:00:00 PM,0.038,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,09:00:00 PM,0.039,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,10:00:00 PM,0.039,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050302,11:00:00 PM,0.038,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050303,12:00:00 AM,0.036,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050303,01:00:00 AM,0.036,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050303,02:00:00 AM,0.036,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050303,03:00:00 AM,0.035,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050303,04:00:00 AM,0.035,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050303,05:00:00 AM,0.036,,,,,,,,,,,,,,,
RD,I,13,85,1,44201,2,1,7,47,20050303,06:00:00 AM,0.03,,,,,,,,,,,,,,,
