Athens,130590002,Rural
Brunswick,131270006,Rural
Bungalow,132450091,Rural
Columbus AP,132150008,Rural
Columbus CRLAB,132151003,
Confederate Ave.,131210055,Metro Atlanta
County Extension(McDonough),131510002,Metro Atlanta
Evans,130730001,Rural
Ft Mtn,132130003,Rural
GA Forestry(Dawsonville),130850001,Metro Atlanta
Gwinnett Tech,131350002,Metro Atlanta
Macon Forestry,130210012,Rural
Macon W,130210013,
Monastery,132470001,Metro Atlanta
National Guard(Kennesaw),130670003,Metro Atlanta
Pike,132319991,Metro Atlanta
Savannah E Pres,130510021,Rural
South DeKalb,130890002,Metro Atlanta
Tucker,130893001,Metro Atlanta
Univ. of West GA(Coweta),130770002,Metro Atlanta
W. Strickland St.(Tucker),130970004,Metro Atlanta
Yorkville,132230003,Metro Atlanta
